Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
PIK3C3	18q12.3	0.6437508306563826	1.7385606896019827e-61	3.505112206306557e-57
LMAN1	18q21.32	0.629007491592367	5.714005779762063e-58	5.760003526289147e-54
ZNF800	7q31.33	0.562793191595817	2.815642073266271e-44	1.8922053279707097e-40
ZBTB21	21q22.3	0.5613816059852683	5.111729389257147e-44	2.151611317547557e-40
CDC73	1q31.2	0.5612796738454303	5.336072906967803e-44	2.151611317547557e-40
KIF27	9q21.32	0.557719945538989	2.369350281900671e-43	7.961411838899905e-40
TRAPPC8	18q12.1	0.5567255119687531	3.5817412019806243e-43	1.0315926339018768e-39
SMAD5	5q31.1	0.5460652546435749	2.7575351705889685e-41	6.949333321780524e-38
NUFIP2	17q11.2	0.5421552129981815	1.3050614782113764e-40	2.9234827180243955e-37
SP3	2q31.1	0.5401678235102699	2.8535950854475003e-40	5.753133051770705e-37
SMCHD1	18p11.32	0.5389532894291672	4.591087422535908e-40	8.414628502340585e-37
NUP153	6p22.3	0.5381514494179988	6.277736906741987e-40	1.0547121148068767e-36
MIER3	5q11.2	0.5371828510997697	9.150930780296991e-40	1.4191685804735972e-36
RBM27	5q32	0.5342374674171736	2.856896738783833e-39	4.114135367901489e-36
ZC3H12C	11q22.3	0.5309437382760928	1.0070831446311544e-38	1.3535868852605802e-35
PIAS2	18q21.1	0.5207770348263722	4.514508042146012e-37	5.688562289856609e-34
SRFBP1	5q23.1	0.5182608759430603	1.1344964346040593e-36	1.345446036356026e-33
SMAD4	18q21.2	0.5170456204859295	1.7656085256738357e-36	1.9775796381172333e-33
RABL6	9q34.3	-0.515262272008583	3.3680900161518506e-36	3.40790184249914e-33
SP4	7p15.3	0.5152519329881254	3.380687309656406e-36	3.40790184249914e-33
PHC3	3q26.2	0.5135884111068473	6.153860475232137e-36	5.907999097197864e-33
TVP23B	17p11.2	0.5131604463540698	7.175321900871356e-36	6.496623059047575e-33
MPND	19p13.3	-0.5130701345685378	7.411454310703548e-36	6.496623059047575e-33
ESCO1	18q11.2	0.510993405339751	1.556336933814385e-35	1.268962828603313e-32
SMAD2	18q21.1	0.5109625321180691	1.5735365663946642e-35	1.268962828603313e-32
MAP3K2	2q14.3	0.5089656318146681	3.195784103030299e-35	2.47808474235361e-32
ROCK1	18q11.1	0.5086788898781411	3.53666944717837e-35	2.6408441749838194e-32
ASXL2	2p23.3	0.5061162154501642	8.712347605742892e-35	6.273201431406516e-32
ZKSCAN8	6p22.1	0.5042840880045051	1.652079737156646e-34	1.14853722692466e-31
ABHD17A	19p13.3	-0.5011269753217747	4.931378561066166e-34	3.3140507723218326e-31
USP37	2q35	0.5000464372264146	7.151273482565837e-34	4.650865312322898e-31
TNPO1	5q13.2	0.49733823232080543	1.804776925459778e-33	1.1370658623185807e-30
LRBA	4q31.3	0.49689884616089924	2.0956235302929333e-33	1.2802989695222977e-30
SCAF11	12q12	0.49603125211944427	2.812974645558615e-33	1.66801123026786e-30
RALGAPB	20q11.23	0.49540915448262135	3.472288340253531e-33	2.000137292224327e-30
EPG5	18q12.3-q21.1	0.4949352275832694	4.075288510476838e-33	2.2822747683256534e-30
WDR35	2p24.1	0.49476220363407725	4.32036332220328e-33	2.3541309442956847e-30
AQR	15q14	0.4943356527644407	4.988642945797003e-33	2.6467376429003522e-30
PPP4R3B	2p16.1	0.4935371289807644	6.52647198426527e-33	3.373851324994156e-30
ZNF81	Xp11.23	0.4929669255177411	7.903507845614335e-33	3.971948925292984e-30
CEP76	18p11.21	0.49287733156238667	8.144592803112633e-33	3.971948925292984e-30
RFX3	9p24.2	0.4928301432115645	8.274483153727757e-33	3.971948925292984e-30
MED13	17q23.2	0.49174830166673256	1.1884585449972534e-32	5.572212261788285e-30
TMF1	3p14.1	0.4916249736829957	1.23843684643157e-32	5.674573922933382e-30
RANGAP1	22q13.2	-0.4908568816674803	1.6000325222326123e-32	7.042865545116404e-30
NFXL1	4p12	0.49084397998383367	1.6069233424698904e-32	7.042865545116404e-30
PIAS1	15q23	0.48985378658569156	2.233568026921653e-32	9.581056381014349e-30
SEC24A	5q31.1	0.4893356317771126	2.6524384513400224e-32	1.1140794086972122e-29
ZNF699	19p13.2	0.4891098189348083	2.858487844316268e-32	1.1586742633917409e-29
TOR1AIP2	1q25.2	0.4890939461279595	2.8735535523826717e-32	1.1586742633917409e-29
SON	21q22.11	0.48902528442799975	2.939634640433191e-32	1.1620779212896777e-29
SPTY2D1	11p15.1	0.4869718508453113	5.788437904628678e-32	2.2442441652926685e-29
NBEAL1	2q33.2	0.4865027401718006	6.753179592491078e-32	2.5688840332870304e-29
ARL13B	3q11.1-q11.2	0.4863178749513145	7.17566303107888e-32	2.6790470809181723e-29
PYGO1	15q21.3	0.48541917548079166	9.632718216002508e-32	3.5310042173241194e-29
ZNF24	18q12.2	0.4844604850472024	1.3175145515098524e-31	4.743287655891095e-29
POLK	5q13.3	0.48335385636303446	1.8889304017756423e-31	6.681179970210302e-29
ARHGAP42	11q22.1	0.48318603542970273	1.9947730219273344e-31	6.933899809496033e-29
C5ORF51	5p13.1	0.4826020239870149	2.410951552005778e-31	8.238507498303135e-29
MAPK8IP1	11p11.2	-0.481234965064936	3.7515167847315603e-31	1.2605721649495498e-28
NARS	18q21.31	0.4806847648429462	4.479655762742878e-31	1.48056294807638e-28
GIPC1	19p13.12	-0.4797048554163048	6.13908572863527e-31	1.9962920544357368e-28
LARP4	12q13.12	0.47792038114754715	1.0869248307172794e-30	3.4783319860462017e-28
UBXN4	2q21.3	0.4774360147156969	1.2684974821965068e-30	3.9959652716505895e-28
NCK1	3q22.3	0.47692748171285787	1.4914608583730325e-30	4.626052671639801e-28
MIB1	18q11.2	0.47681764066646115	1.5444921392464916e-30	4.717955457477048e-28
ANKRD12	18p11.22	0.4763479663610694	1.7931072933379224e-30	5.395647185221769e-28
RNASEK	17p13.1	-0.476279016418013	1.832794334476373e-30	5.4339656731438465e-28
PEX16	11p11.2	-0.4761002717085739	1.939771832525852e-30	5.6677883935585075e-28
SLAIN2	4p11	0.4760467755853048	1.972973972680724e-30	5.682446894745154e-28
MAP2K2	19p13.3	-0.4759548731792089	2.0313308073926904e-30	5.7681211842033845e-28
